date_treatment,id_mere,diet,density,boite_petri,Id_adulte,date_adulte,sex,forceps_L,pronotum
28-01-2025,PKYWO,POOR,8,164,GLFNZ,08-04-2025,male,4.313,1.593
28-01-2025,PKYWO,GOOD,1,165,XQEWL,25-03-2025,male,4.627,1.964
28-01-2025,PKYWO,GOOD,1,166,IYRAH,25-03-2025,male,4.746,1.699
28-01-2025,PKYWO,GOOD,1,167,YCQGX,25-03-2025,male,4.379,1.962
28-01-2025,PKYWO,GOOD,1,168,QQFCS,24-03-2025,femelle,3.787,1.981
28-01-2025,PKYWO,GOOD,1,169,UOJIM,24-03-2025,femelle,3.679,2.007
28-01-2025,PKYWO,GOOD,1,170,UDSLR,24-03-2025,femelle,3.534,1.931
28-01-2025,PKYWO,GOOD,1,171,ALUWI,24-03-2025,male,6.56,1.782
28-01-2025,PKYWO,GOOD,1,172,FPTFA,24-03-2025,femelle,3.541,1.855
28-01-2025,PKYWO,GOOD,4,174,OIFAD,17-03-2025,male,7.236,1.699
28-01-2025,PKYWO,GOOD,4,174,QMYYU,17-03-2025,femelle,3.728,1.908
28-01-2025,PKYWO,GOOD,4,174,XPVJJ,17-03-2025,femelle,3.738,1.847
28-01-2025,PKYWO,GOOD,4,174,FUELL,18-03-2025,male,4.5,1.724
28-01-2025,PKYWO,GOOD,4,175,XUCVD,24-03-2025,male,7.383,1.829
28-01-2025,PKYWO,GOOD,4,175,FLCFR,24-03-2025,male,7.225,1.794
28-01-2025,PKYWO,GOOD,4,175,GXTKR,24-03-2025,male,5.343,1.673
28-01-2025,PKYWO,GOOD,4,175,VUSZA,26-03-2025,male,3.654,1.712
28-01-2025,PKYWO,GOOD,8,177,HNFPY,20-03-2025,femelle,3.768,1.872
28-01-2025,PKYWO,GOOD,8,177,LYFZI,20-03-2025,femelle,3.684,1.939
28-01-2025,PKYWO,GOOD,8,177,ODUJD,20-03-2025,femelle,3.845,1.774
28-01-2025,PKYWO,GOOD,8,177,ANCES,24-03-2025,femelle,3.232,1.852
28-01-2025,PKYWO,GOOD,8,178,HCCWB,20-03-2025,male,7.503,1.772
28-01-2025,PKYWO,GOOD,8,178,GTRCI,20-03-2025,femelle,3.801,1.844
28-01-2025,PKYWO,GOOD,8,178,TFYJS,21-03-2025,male,5.814,1.94
28-01-2025,PKYWO,GOOD,8,178,PIYHS,24-03-2025,male,7.238,2.02
28-01-2025,PKYWO,GOOD,8,178,RWWOT,24-03-2025,male,5.686,1.922
28-01-2025,PKYWO,GOOD,8,178,HCKHR,24-03-2025,male,5.342,1.819
28-01-2025,PKYWO,GOOD,8,178,QICSS,24-03-2025,femelle,3.776,1.957
29-01-2025,ONJOB,POOR,1,179,HJMAF,23-04-2025,male,3.808,1.424
29-01-2025,ONJOB,POOR,1,180,,,,,
29-01-2025,ONJOB,POOR,4,182,QTADS,15-04-2025,male,3.497,1.294
29-01-2025,ONJOB,POOR,4,182,EQLYM,21-04-2025,male,3.667,1.393
29-01-2025,ONJOB,POOR,8,183,JJIZO,04-04-2025,femelle,3.582,1.788
29-01-2025,ONJOB,POOR,8,183,ULSYG,08-04-2025,male,3.534,1.475
29-01-2025,ONJOB,POOR,8,183,AAVRC,10-04-2025,femelle,2.815,1.204
29-01-2025,ONJOB,POOR,8,183,SUPLP,21-04-2025,femelle,3.29,1.652
29-01-2025,ONJOB,GOOD,1,184,JJYPV,21-03-2025,femelle,3.805,1.609
29-01-2025,ONJOB,GOOD,1,185,FQSGO,26-03-2025,male,4.527,1.771
29-01-2025,ONJOB,GOOD,1,186,FADIY,24-03-2025,male,4.238,1.593
29-01-2025,ONJOB,GOOD,4,187,XKTNH,25-03-2025,male,3.898,1.731
29-01-2025,ONJOB,GOOD,4,187,LFVXR,25-03-2025,femelle,3.785,1.639
29-01-2025,ONJOB,GOOD,4,187,LLRXW,27-03-2025,femelle,3.901,1.756
29-01-2025,ONJOB,GOOD,4,187,QNQGO,02-04-2025,femelle,3.685,1.676
29-01-2025,ONJOB,GOOD,8,188,UZODL,19-03-2025,femelle,3.234,1.827
29-01-2025,ONJOB,GOOD,8,188,LURHN,20-03-2025,femelle,3.902,1.52
29-01-2025,ONJOB,GOOD,8,188,XCEDK,21-03-2025,male,5.468,1.712
29-01-2025,ONJOB,GOOD,8,188,QDTBF,24-03-2025,male,5.135,1.691
29-01-2025,ONJOB,GOOD,8,188,EVXGQ,24-03-2025,male,5.179,1.804
29-01-2025,ONJOB,GOOD,8,188,LLBTZ,24-03-2025,femelle,3.686,1.649
29-01-2025,OG11H,POOR,1,189,GJEZP,15-04-2025,male,4.24,1.582
29-01-2025,OG11H,POOR,4,192,,,,,
29-01-2025,OG11H,POOR,4,192,,,,,
29-01-2025,OG11H,POOR,8,193,OHVIE,04-04-2025,male,4.081,1.506
29-01-2025,OG11H,POOR,8,194,BAZIY,08-04-2025,male,3.721,1.449
29-01-2025,OG11H,POOR,8,194,GRIPI,14-04-2025,femelle,3.347,1.55
29-01-2025,OG11H,POOR,8,194,WFFEZ,17-04-2025,femelle,3.356,1.635
